"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","topic_13","topic_14","topic_15","topic_16","topic_17","topic_18","topic_19","topic_20","topic_21","topic_22","topic_23","topic_24","topic_25","topic_26","topic_27","topic_28","topic_29","topic_30","topic_31","topic_32","topic_33","topic_34","topic_35","topic_36","topic_37","topic_38","topic_39","topic_40","topic_41","topic_42","topic_43","topic_44","topic_45","topic_46","topic_47","topic_48","topic_49","topic_50","msoa11cd"
0,0.0018,0,1e-04,0,0,0,0,0,2e-04,0.0408,0,5e-04,7e-04,0,0.015,4e-04,0,0.0167,0.0049,0,1e-04,1e-04,0.005,4e-04,0.0029,0,0,0,0,0.0334,0.4635,0,0,0.2051,0.0682,0,0,0,0.0407,0,4e-04,4e-04,0.0696,0,0.0039,0.001,0.023,9e-04,3e-04,"E02000001"
0,0.0319,0,0.0064,0,0.0062,0.0223,0,0,0.0469,7e-04,0,1e-04,0,0,0,0.0242,0.072,0,0.0056,0.0019,0,0,0.0055,0.0444,0,2e-04,0,0,0.0125,4e-04,0,0,0,0,0.0012,0,0.3917,0.0226,0,0,3e-04,0,0.0081,0.0011,0,0.004,0.2896,1e-04,1e-04,"E02000002"
0.0303,5e-04,0.2222,0.0046,4e-04,0,0,0.0207,0.0061,0.0565,0.054,0,3e-04,0.0201,0,0.0015,0,7e-04,0.0021,0,0.0195,0.0012,0.0012,0.0204,0.0165,2e-04,6e-04,1e-04,0,0.0016,0,0.0113,1e-04,0,0,0.0033,0,2e-04,2e-04,0.011,0.3351,0.0019,0,0,0,0,0,0.1548,4e-04,3e-04,"E02000003"
0,0.0056,0.0021,0.0017,0,0.0433,0,0,0,1e-04,0.0037,0,1e-04,0,0.1908,0.0024,0.0063,0.0605,0.1017,0,0,0.0022,0,0.0067,0.0019,0,8e-04,0.0048,0,0,0,0.0026,1e-04,0,0.0017,0.023,0,0,0,0.2164,0,0.1305,0.0165,0.0083,0,0,4e-04,0.0302,2e-04,0.1352,"E02000004"
0.2082,0,0.0308,0,0,0,0,0,5e-04,0,0.1052,0,0.0753,0,0.2207,0.0246,0.0343,0.0031,0.0264,0,0,0,0,0.0189,0,0.1087,0.0094,0.0021,0,0,0.0324,0.0353,0,0,0,0.009,0,0,0,0.0072,0,0,0,0,1e-04,0.0355,0,0.0119,3e-04,0,"E02000005"
1e-04,0,0,1e-04,0.0035,8e-04,4e-04,0,0,1e-04,0,1e-04,0.5365,0.0012,0.0017,0.2163,0,0,0.005,0,2e-04,0.0357,0,0.0012,0.0147,0.0016,0.0108,0.0126,1e-04,0,0,0,0,0,3e-04,0,0.1462,0,0.0033,0,0,8e-04,0,0,0,1e-04,0,0,0.0062,3e-04,"E02000007"
0.0853,0,0,0,0,1e-04,0.0021,0.0107,0.0201,0.0019,1e-04,0.0666,0,0.0481,0.006,0,0.0023,0,0,0,0,0.0265,0,1e-04,0,0.0163,4e-04,6e-04,0.0103,0,0.0012,0,0,0.2804,0,0,0,0.1602,0,0,0.0026,0,0.0797,0,0.0058,0.0644,0,0,1e-04,0.1082,"E02000008"
2e-04,0,9e-04,1e-04,0.1102,0,3e-04,0,0,0.0213,7e-04,0,0,0.0048,0.0013,0.0715,0.0129,0,0,0.0023,0,0.0869,0.0011,0,0.0024,0.0073,0,0.0037,0,0.0125,0,0,0.0712,0,0,0.0174,0.5393,2e-04,0,0,0,0.0018,0,1e-04,0,1e-04,0,0.0261,1e-04,0.0031,"E02000009"
0.0083,0.0339,0,0,0.0292,7e-04,0,0.0649,0,0,0.0302,0.0819,0,0,0.0337,0.0488,0.0028,0,0,1e-04,0,0.0024,0,0.0254,1e-04,0,0,0.0143,2e-04,0.0859,0,0,0,1e-04,1e-04,0,8e-04,0,0.0543,0,0,0.1775,0.2436,0,0,0,0.0144,1e-04,0,0.046,"E02000010"
0,0,0.1218,0.0194,0,0,0.0068,8e-04,0.1358,0,6e-04,0,0,1e-04,0,7e-04,0.02,1e-04,0,1e-04,0.0052,0.1232,4e-04,0,0,0,0,0.1964,0.0088,0,0,0.0737,0.001,2e-04,0,0.0923,0,0,0.0083,0,0,0.0017,0.0108,0.0072,0.1102,0,0,0.0433,0.0108,0,"E02000011"
